,Name_1,Name,a_host,b_host,PA_host,a_ring,b_ring,PA_ring,z,angle1,angle2,Dring/dhost,RA,Dec,SIMBAD_NAME,SIMBAD_RA,SIMBAD_DEC,NED_NAME,NED_RA,NED_DEC,SDSS_NAME,SDSS_RA,SDSS_DEC
0,SPRC3,3,5.7,2.8,325,12.1,2.9,66,0.037,86,74,2.11,10.2643333,-9.9411389,2MASX J00410343-0956284,10.264303333333332,-9.9410825,SPRC 003,10.26435,-9.94108,SDSS J10.26433-9.94113,10.2643292595943,-9.94112983749147
1,SPRC4,4,6.0,3.0,122,7.0,1.0,27,0.04,1,1,1.0,40.7433,-0.9526,SDSS J024258.42-005709.3,40.7434375,-0.9525580555555555,SPRC 004,40.74342,-0.95259,SDSS J40.74346-0.95257,40.7434567284033,-0.95256759076697
2,SPRC7,7,4.2,3.2,150,17.0,10.0,50,0.06,72,60,4.28,118.143,29.3471389,SDSS J075234.32+292049.7,118.14302458333333,29.347139444444444,SDSS J075233.61+292051.1,118.14007,29.34755,SDSS J118.14309+29.34716,118.143088037957,29.3471620846771
3,SPRC10,10,6.0,2.0,320,6.0,1.5,40,0.042,78,82,1.21,125.159125,15.6166111,LEDA 1489167,125.15905458333332,15.616640555555556,,,,SDSS J125.15911+15.61660,125.15911189414,15.6166002415444
4,SPRC14,14,8.7,5.2,130,17.8,5.9,35,0.032,83,75,2.05,139.5665417,20.3681389,Z 121-53,139.56654541666666,20.36815777777778,SDSS J091815.89+202158.3,139.56624,20.36621,SDSS J139.56654+20.36813,139.566535602369,20.3681344899949
5,SPRC27,27,5.9,2.7,125,14.3,2.2,30,0.048,89,81,2.4,176.1834167,23.1625,LEDA 1682548,176.18345541666665,23.162475277777776,,,,SDSS J176.18342+23.16249,176.183423648351,23.1624895003104
6,SPRC39,39,7.1,4.0,115,15.8,3.6,50,0.029,62,76,2.22,197.0705,45.3764444,SPRC 39,197.0705345833333,45.376401944444446,WISEA J130816.57+452238.9,197.06905,45.37749,SDSS J197.07052+45.37644,197.070519032448,45.3764365577933
7,SPRC60,60,4.0,2.0,135,9.0,1.5,55,0.078,1,1,1.0,236.8513,38.9306,LEDA 3567685,236.8513258333333,38.930635277777775,,,,SDSS J236.85132+38.93066,236.851322083456,38.930657738832
8,SPRC67,67,18.6,4.4,113,25.7,3.2,347,0.028,55,53,1.38,259.433875,40.6977778,Z 225-97,259.43388666666664,40.697786666666666,,,,,,
9,SPRC69,69,5.9,3.6,135,16.0,2.8,32,0.025,85,73,2.47,312.023625,0.0688333,LEDA   65406,312.0236125,0.06884166666666666,,,,SDSS J312.02361+0.06885,312.023605953702,0.0688494244489436
10,SPRC241,241,12.0,6.0,9,27.7,15.8,110,0.018,83,66,2.0,40.4875,-6.7923056,MCG-01-07-035,40.48750833333333,-6.792288611111111,,,,,,
11,SPRC260,260,15.5,7.0,82,27.7,15.8,15,0.021,57,87,1.67,176.3760417,9.7291111,Z  68-56,176.37605749999997,9.729097222222222,CGCG 068-056,176.37606,9.72909,SDSS J176.37606+9.72910,176.376056764076,9.72910480468963
